id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
4181,9690846,STI BROADWAY,ICBC Financial Leasing Co Ltd,China,Scorpio LR2 Pool (SLR2P) Ltd,Monaco,Marshall Islands,Tank,2014,,109999,ABS,Optimum Ship Services Ltd,Greece,Scorpio Commercial Management S.A.M.,Monaco,2022-08-25T00:00:00Z
27153,9691151,INDIGO SW,Shih Wei Navigation Co. Ltd.,"Taiwan, Province Of China",Shih Wei Navigation Co. Ltd.,"Taiwan, Province Of China",Panama,Bulk,2014,,36371,NK,Shih Wei Navigation Co. Ltd.,"Taiwan, Province Of China",Shih Wei Navigation Co. Ltd.,"Taiwan, Province Of China",2020-01-01T00:00:00Z
8970,9691400,FOUR COAL,Premuda Societa Di Navigazione Per Azioni,Italy,Premuda Societa Di Navigazione Per Azioni,Italy,Cayman Islands,Bulk,2014,,76671,RI,,,Premuda Societa Di Navigazione Per Azioni,Italy,2021-05-01T00:00:00Z
5048,9691553,TRUE CARTIER,JP Morgan Chase & Co,United States of America,JP Morgan Chase & Co,United States of America,Liberia,Bulk,2014,,181380,DNV,Synergy Maritime Pvt. Ltd.,India,JP Morgan Chase & Co,United States of America,2022-05-23T00:00:00Z
2121,9692478,T.KURUCESME,Unknown,Unknown,Ditas Deniz Isletmeciligi,Turkey,Marshall Islands,Tank,2015,,105171,ABS,Ditas Deniz Isletmeciligi,Turkey,Ditas Deniz Isletmeciligi,Turkey,2023-03-27T00:00:00Z
5557,9692844,CAPTAIN PARIS,Bilinder Marine Corp. SA,Greece,Bilinder Marine Corp. SA,Greece,Malta,Tank,2014,,113876,ABS,Latsco Marine Management Inc (LMM),Panama,Bilinder Marine Corp. SA,Greece,2022-04-27T00:00:00Z
6112,9693549,GAS SUMMIT,KSS Line Ltd,South Korea,KSS Line Ltd,South Korea,Panama,LPG,2014,,54684,KR,KSS Line Ltd,South Korea,KSS Line Ltd,South Korea,2022-04-04T00:00:00Z
5803,9696101,SHINE ON,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,Bahamas,Bulk,2015,,179406,NK,,,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,2022-04-15T00:00:00Z
36668,9696864,KSL ANYANG,Nanjing King Ship Management Co. Ltd.,China,Nanjing King Ship Management Co. Ltd.,China,Hong Kong,Gen,2014,,37537,BV,,,Nanjing King Ship Management Co. Ltd.,China,2020-01-01T00:00:00Z
7906,9697234,MARLIN AMETRINE,MSEA Tankers LLC,Cyprus,MSEA Tankers LLC,Cyprus,Marshall Islands,Tank,2015,,49999,DNV,Bernhard Schulte Shipmanagement,Greece,MSEA Tankers LLC,Cyprus,2021-12-16T00:00:00Z
