id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
4954,9479890,STAR PAULINE,Maryville Maritime Inc.,Liberia,Maryville Maritime Inc.,Liberia,Liberia,Bulk,2008,,180274,BV,,,Maryville Maritime Inc.,Liberia,2022-05-30T00:00:00Z
6889,9479163,HELEN N,General Ore International Corp Ltd,Germany,General Ore International Corp Ltd,Germany,Liberia,Bulk,2011,,297204,DNV,Neu Seeschiffahrt GmbH,Germany,General Ore International Corp Ltd,Germany,2022-03-04T00:00:00Z
4077,9397987,AQUAMARINE ACE,Mitsui O.S.K. Lines Ltd,Japan,Mitsui O.S.K. Lines Ltd,Japan,Panama,PCC,2008,,18772,NK,MOL Ship Management Co Ltd (MOLSHIP),Japan,Mitsui O.S.K. Lines Ltd,Japan,2022-09-12T00:00:00Z
30051,9354246,MINO III,Yamane Sangyo KK,Japan,Yamane Sangyo KK,Japan,Panama,Gen,2007,,14117,NK,,,Yamane Sangyo KK,Japan,2020-01-01T00:00:00Z
6514,9691955,LUDOLF OLDENDORFF,Egon Oldendorff GmbH & Co KG,Germany,Egon Oldendorff GmbH & Co KG,Germany,Portugal,Bulk,2015,,207562,NK,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Egon Oldendorff GmbH & Co KG,Germany,2022-03-21T00:00:00Z
1317,9522714,MILLICENT,Shanghai Fengquanyu Shipping Co Ltd,China,Spring Valley Shipping Management Pte Ltd,Singapore,Singapore,Bulk,2011,,180223,CC,Spring Valley Shipping Management Pte Ltd,Singapore,Spring Valley Shipping Management Pte Ltd,Singapore,2023-06-11T00:00:00Z
8733,9634830,PEAK PEGASUS,Peak Project Carriers AS,Norway,Peak Project Carriers AS,Norway,Liberia,Bulk,2013,,82026,NK,,,Peak Project Carriers AS,Norway,2021-09-22T00:00:00Z
3998,9308883,CEPHEUS LEADER,Excel Marine Co Ltd,Japan,Nippon Yusen Kaisha (NYK Line),Japan,Japan,PCC,2006,,21402,NK,Excel Marine Co Ltd,Japan,Excel Marine Co Ltd,Japan,2022-09-20T00:00:00Z
26557,9306809,NCC TABUK,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,Saudi Arabia,Tank,2006,,45963,DNV,Mideast Ship Management Ltd.,United Arab Emirates,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,2020-01-01T00:00:00Z
12027,9789324,WEPION,Exmar LPG BVBA,Belgium,Exmar LPG BVBA,Belgium,Belgium,LPG,2018,,28468,LR,Exmar Shipmanagement NV,Belgium,Exmar LPG BVBA,Belgium,2020-01-01T00:00:00Z
2195,9239642,PETROLIMEX 10,Vietnam Petroleum Transport JSC (VIPCO),Viet Nam,Vietnam Petroleum Transport JSC (VIPCO),Viet Nam,Vietnam,Tank,2003,,37256,ABS,Vietnam Petroleum Transport JSC (VIPCO),Viet Nam,Vietnam Petroleum Transport JSC (VIPCO),Viet Nam,2023-03-20T00:00:00Z
8122,9493066,HL BRAZIL,H-Line Shipping Co Ltd,"Korea, Republic Of",H-Line Shipping Co Ltd,"Korea, Republic Of",Panama,Bulk,2011,,299688,KR,,,H-Line Shipping Co Ltd,"Korea, Republic Of",2021-11-29T00:00:00Z
29226,9191319,TALISMAN,Wilhelmsen Wilh. ASA (WILSHIP),Norway,Wilhelmsen Wilh. ASA (WILSHIP),Norway,Norway (NIS),RoRo,2000,,38500,DNV,,,Wilhelmsen Wilh. ASA (WILSHIP),Norway,2020-01-01T00:00:00Z
27058,9675743,ULTRA CORY,Shoei Kisen KK,Japan,Shoei Kisen KK,Japan,Panama,Bulk,2014,,61442,NK,SMTECH Ship Management Co Ltd,"Korea, Republic Of",Shoei Kisen KK,Japan,2020-01-01T00:00:00Z
21647,9475674,HYUNDAI TENACITY,Danaos Shipping Co Ltd,Greece,Danaos Shipping Co Ltd,Greece,Malta,Cont,2012,,141550,DNV,Danaos Shipping Co Ltd,Greece,Danaos Shipping Co Ltd,Greece,2020-01-01T00:00:00Z
12867,9730268,ANYA,FrontMarine,Cyprus,FrontMarine,Cyprus,Cyprus,Bulk,2017,,58593,ABS,Lemissoler Shipmanagement Ltd,Cyprus,FrontMarine,Cyprus,2020-01-01T00:00:00Z
33072,9624665,NICOSIA PEGASUS,Unknown Greeks,Greece,Unknown Greeks,Greece,Cyprus,Bulk,2012,,81512,KR,,,Unknown Greeks,Greece,2020-01-01T00:00:00Z
18956,9696096,IOANNIS,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,Bahamas,Bulk,2015,,179428,NK,,,Alcyon Shipping Co. Ltd. (Efstathiou N J),Greece,2020-01-01T00:00:00Z
33462,9392171,KUROBE,Nippon Yusen Kaisha (N Y K),Japan,Nippon Yusen Kaisha (N Y K),Japan,Panama,Gen,2010,,28850,NK,Hachiuma Steamship Co. Ltd.,Japan,Nippon Yusen Kaisha (N Y K),Japan,2020-01-01T00:00:00Z
15167,9511351,HOSEI OCEAN,Hosei Global Shipping Co. Ltd.,China,Hosei Global Shipping Co. Ltd.,China,Panama,Gen,2008,,12151,NK,,,Hosei Global Shipping Co. Ltd.,China,2020-01-01T00:00:00Z
5091,9619995,MAYVIEW MAERSK,Moller AP,Denmark,Moller AP,Denmark,Denmark,Cont,2014,,194533,ABS,,,Moller AP,Denmark,2022-05-20T00:00:00Z
23823,9487081,JIN YUAN LING,Cosco Bulk Carrier Co. Ltd. (COSCO BULK),China,Cosco Bulk Carrier Co. Ltd. (COSCO BULK),China,Hong Kong,Bulk,2009,,31772,CC,,,Cosco Bulk Carrier Co. Ltd. (COSCO BULK),China,2020-01-01T00:00:00Z
15423,9419759,GLOVIS CARDINAL,Hyundai Glovis Co Ltd,"Korea, Republic Of",Hyundai Glovis Co Ltd,"Korea, Republic Of",South Korea,PCC,2012,,22342,KR,,,Hyundai Glovis Co Ltd,"Korea, Republic Of",2020-01-01T00:00:00Z
31083,9553660,HAPPY PEREGRINE,Ultranav Naviera Ltda,Chile,Ultranav Naviera Ltda,Chile,Denmark (DIS),LPG,2014,,15012,BV,Unigas International,Netherlands,Ultranav Naviera Ltda,Chile,2020-01-01T00:00:00Z
4276,9464895,AGIA VALENTINI,Ilios Shipping Co SA,Greece,Ilios Shipping Co SA,Greece,Cyprus,Bulk,2012,,80388,BV,Ilios Shipping Co SA,Greece,Ilios Shipping Co SA,Greece,2022-08-12T00:00:00Z
25511,8915445,STAR CLIPPER,Star Clippers Ltd.,Monaco,Star Clippers Ltd.,Monaco,Malta,Pass,1992,,300,DNV,Star Clippers Ltd.,Monaco,Star Clippers Ltd.,Monaco,2020-01-01T00:00:00Z
1882,9227807,KAI XUAN 11,Xu Gang,China,Hongkong Kaixuan Shipping Ltd,Hong Kong,Panama,Bulk,2000,,50236,NK,Goldenking Shipping Co Ltd,China,Hongkong Kaixuan Shipping Ltd,Hong Kong,2023-04-15T00:00:00Z
27625,9334985,LUCKY CATHERINE,Setsuyo Kisen Co.,Japan,Setsuyo Kisen Co.,Japan,Panama,Gen,2005,,14454,NK,,,Setsuyo Kisen Co.,Japan,2020-01-01T00:00:00Z
7025,9714355,CHINA HARMONY,Chinese Maritime Transport,"Taiwan, Province Of China",Chinese Maritime Transport,"Taiwan, Province Of China",Hong Kong,Bulk,2016,,179505,ABS,,,Chinese Maritime Transport,"Taiwan, Province Of China",2022-02-23T00:00:00Z
25691,9614335,ORIENTAL CORE,Toda Kisen KK (Toda Ship Co Ltd),Japan,Toda Kisen KK (Toda Ship Co Ltd),Japan,Panama,Bulk,2012,,19975,NK,Toda Kisen KK (Toda Ship Co Ltd),Japan,Toda Kisen KK (Toda Ship Co Ltd),Japan,2020-01-01T00:00:00Z
27208,9660047,LAUREL ACE,Shinken Bussan Co Ltd,Japan,Shinken Bussan Co Ltd,Japan,Panama,Bulk,2013,,28050,NK,,,Shinken Bussan Co Ltd,Japan,2020-01-01T00:00:00Z
25735,9675315,NANBU,Toda Kisen KK (Toda Ship Co Ltd),Japan,Toda Kisen KK (Toda Ship Co Ltd),Japan,Panama,Gen,2013,,12137,NK,Toda Kisen KK (Toda Ship Co Ltd),Japan,Toda Kisen KK (Toda Ship Co Ltd),Japan,2020-01-01T00:00:00Z
4274,9502910,MAERSK EMERALD,Nissen Kaiun KK,Japan,Maersk A/S,Denmark,Singapore,Cont,2012,,141189,DNV,Synergy Maritime Pvt Ltd,India,Maersk A/S,Denmark,2022-08-12T00:00:00Z
