id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
28916,9294848,WAN HAI 501,Wan Hai Lines (HK) Ltd,Hong Kong,Wan Hai Lines (HK) Ltd,Hong Kong,Singapore,Cont,2005,,52249,DNV,,,Wan Hai Lines (HK) Ltd,Hong Kong,2020-01-01T00:00:00Z
5452,9294850,WAN HAI 502,Wan Hai Lines (HK) Ltd,Hong Kong,Wan Hai Lines (HK) Ltd,Hong Kong,Singapore,Cont,2005,,52146,DNV,,,Wan Hai Lines (HK) Ltd,Hong Kong,2022-05-03T00:00:00Z
28927,9294862,WAN HAI 503,Wan Hai Lines (HK) Ltd,Hong Kong,Wan Hai Lines (HK) Ltd,Hong Kong,Singapore,Cont,2005,,51300,DNV,,,Wan Hai Lines (HK) Ltd,Hong Kong,2020-01-01T00:00:00Z
3586,9294874,WAN HAI 505,Wan Hai Lines Ltd,"Taiwan, Province Of China",Wan Hai Lines Ltd,"Taiwan, Province Of China",Singapore,Cont,2005,,52146,NK,,,Bernhard Schulte (Singapore) Pte Ltd,Singapore,2022-11-21T00:00:00Z
8816,9294991,MSC MUMBAI VIII,Norddeutsche Vermogensanlage Gmbh & Co KG,Germany,Norddeutsche Vermogensanlage Gmbh & Co KG,Germany,Germany,Cont,2005,,108106,DNV,,,Norddeutsche Vermogensanlage Gmbh & Co KG,Germany,2021-07-26T00:00:00Z
8010,9295000,MARAN ARIES,Angelicoussis Shipping Group Ltd,Greece,Maran Tankers Management,Greece,Greece,Tank,2006,,320871,ABS,Maran Tankers Management,Greece,Maran Tankers Management,Greece,2021-12-07T00:00:00Z
9307,9295036,COMPASSION,Hafnia Tankers (Member of BW Group),Denmark,Hafnia Tankers (Member of BW Group),Denmark,Singapore,Tank,2006,,72782,LR,Chemikalien Seetransport & Co.,Germany,Hafnia Tankers (Member of BW Group),Denmark,2020-12-16T00:00:00Z
3796,9295256,KYOTO EXPRESS,Hapag-Lloyd AG,Germany,Hapag-Lloyd AG,Germany,Germany,Cont,2005,,103890,DNV,Hapag-Lloyd AG,Germany,Hapag-Lloyd AG,Germany,2022-10-21T00:00:00Z
26550,9295282,NCC ABHA,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,Saudi Arabia,Tank,2006,,45958,DNV,Mideast Ship Management Ltd,United Arab Emirates,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,2020-01-01T00:00:00Z
18425,9295323,QUEEN MAJESTY,Caraka Tirta Perkasa (CTP LIne),Indonesia,Caraka Tirta Perkasa (CTP LIne),Indonesia,Indonesia,Tank,2004,,36986,RI,Caraka Tirta Perkasa (CTP LIne),Indonesia,Caraka Tirta Perkasa (CTP LIne),Indonesia,2020-01-01T00:00:00Z
9984,9295414,SC MONTREUX,Great Harvest Maeta Group Holdings Ltd,Hong Kong,Great Harvest Maeta Group Holdings Ltd,Hong Kong,Marshall Islands,Cont,2005,,52863,BV,Conbulk Shipmanagement Corp,Greece,Great Harvest Maeta Group Holdings Ltd,Hong Kong,2020-01-01T00:00:00Z
36763,9295579,AFRICAN IBIS,MUR Shipping Holdings BV,Netherlands,MUR Shipping Holdings BV,Netherlands,Bahamas,Bulk,2004,,32374,NK,Dockendale Ship Management DMC Co,United Arab Emirates,MUR Shipping Holdings BV,Netherlands,2020-01-01T00:00:00Z
15975,9295842,HOEGH BERLIN,Hoegh Autolines AS,Norway,Hoegh Autolines AS,Norway,Bahamas,PCC,2005,,27178,DNV,,,Hoegh Autolines AS,Norway,2020-01-01T00:00:00Z
6679,9295945,WAN HAI 627,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Portugal,Cont,2006,,68228,LR,DT-Bereederungs GmbH & Co KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,2022-03-14T00:00:00Z
4917,9295971,CMA CGM AMERICA,Global Ship Lease Inc (GSL),United Kingdom,Global Ship Lease Inc (GSL),United Kingdom,Malta,Cont,2006,,52683,RI,,,Global Ship Lease Inc (GSL),United Kingdom,2022-05-30T00:00:00Z
40730,9296274,CHAMCHURI NAREE,Precious Shipping PCL,Thailand,Precious Shipping PCL,Thailand,Thailand,Bulk,2005,,33733,NK,,,Precious Shipping PCL,Thailand,2020-01-01T00:00:00Z
39597,9296286,KOTA RAJIN,Pacific International Lines Pte Ltd,Singapore,Pacific International Lines Pte Ltd,Singapore,Singapore,Cont,2005,,13212,NK,,,Pacific International Lines Pte Ltd,Singapore,2020-01-01T00:00:00Z
39598,9296298,KOTA RANCAK,Pacific International Lines Pte Ltd,Singapore,Pacific International Lines Pte Ltd,Singapore,Singapore,Cont,2005,,12700,NK,,,Pacific International Lines Pte Ltd,Singapore,2020-01-01T00:00:00Z
9414,9296327,PUNKT,Pioneer Marine Advisers Pte Ltd,Singapore,Pioneer Marine Advisers Pte Ltd,Singapore,Isle of Man,Bulk,2006,,28671,NK,Prelude Marine SA,Marshall Islands,Pioneer Marine Advisers Pte Ltd,Singapore,2020-11-18T00:00:00Z
39599,9296339,KOTA RIA,Pacific International Lines Pte Ltd,Singapore,Pacific International Lines Pte Ltd,Singapore,Singapore,Cont,2006,,13017,NK,,,Pacific International Lines Pte Ltd,Singapore,2020-01-01T00:00:00Z
33368,9296781,KRASNODAR,New Trade Ship Management SA,Greece,New Trade Ship Management SA,Greece,Panama,Bulk,2005,,46412,NK,,,New Trade Ship Management SA,Greece,2020-01-01T00:00:00Z
4971,9296793,APOLLO,Transocean Maritime Agencies S.A.M.,Monaco,Transocean Maritime Agencies S.A.M.,Monaco,Marshall Islands,Bulk,2006,,77326,NK,,,Transocean Maritime Agencies S.A.M.,Monaco,2022-05-27T00:00:00Z
2106,9296810,SERENDI,Unknown,Unknown,Polaris Shipmanagement Ltd,China,Panama,Tank,2005,,106488,LR,Polaris Shipmanagement Ltd,China,Polaris Shipmanagement Ltd,China,2023-03-29T00:00:00Z
33927,9296846,CAPTAIN MIKE,Navitas Compania Maritima S.A.,Greece,Navitas Compania Maritima S.A.,Greece,Marshall Islands,Bulk,2005,,87052,LR,Navitas Compania Maritima SA,Greece,Navitas Compania Maritima S.A.,Greece,2020-01-01T00:00:00Z
