"date_","day_part_segment","geo_subcategory","shipcategory","shipcount"
"1/1/2021","Evening","Port Tuas","PASSENGER","0"
"1/1/2021","Evening","Port Tuas","TANKER","4"
"1/1/2021","Evening","Sea","CARGO","47"
"1/1/2021","Evening","Sea","PASSENGER","0"
"1/1/2021","Evening","Sea","TANKER","107"
"1/1/2021","Late_Night","Land","CARGO","0"
"1/1/2021","Late_Night","Land","PASSENGER","0"
"1/1/2021","Late_Night","Land","TANKER","0"
"1/1/2021","Late_Night","Port Brani","CARGO","0"
"1/1/2021","Late_Night","Port Brani","PASSENGER","0"
"1/1/2021","Late_Night","Port Brani","TANKER","0"
"1/1/2021","Late_Night","Port Bukom","CARGO","1"
"1/1/2021","Late_Night","Port Bukom","PASSENGER","0"
"1/1/2021","Late_Night","Port Bukom","TANKER","14"
"1/1/2021","Late_Night","Port Jurong Island","CARGO","14"
"1/1/2021","Late_Night","Port Jurong Island","PASSENGER","0"
"1/1/2021","Late_Night","Port Jurong Island","TANKER","43"
"1/1/2021","Late_Night","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Late_Night","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Late_Night","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Late_Night","Port Pasir Panjang","CARGO","37"
"1/1/2021","Late_Night","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Late_Night","Port Pasir Panjang","TANKER","9"
"1/1/2021","Late_Night","Port Tanjong Pagar","CARGO","0"
"1/1/2021","Late_Night","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Late_Night","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Late_Night","Port Tuas","CARGO","2"
"1/1/2021","Late_Night","Port Tuas","PASSENGER","0"
"1/1/2021","Late_Night","Port Tuas","TANKER","8"
"1/1/2021","Late_Night","Sea","CARGO","62"
"1/1/2021","Late_Night","Sea","PASSENGER","0"
"1/1/2021","Late_Night","Sea","TANKER","167"
"1/1/2021","Morning","Land","CARGO","0"
"1/1/2021","Morning","Land","PASSENGER","0"
"1/1/2021","Morning","Land","TANKER","0"
"1/1/2021","Morning","Port Brani","CARGO","0"
"1/1/2021","Morning","Port Brani","PASSENGER","0"
"1/1/2021","Morning","Port Brani","TANKER","0"
"1/1/2021","Morning","Port Bukom","CARGO","1"
"1/1/2021","Morning","Port Bukom","PASSENGER","0"
"1/1/2021","Morning","Port Bukom","TANKER","2"
"1/1/2021","Morning","Port Jurong Island","CARGO","6"
"1/1/2021","Morning","Port Jurong Island","PASSENGER","0"
"1/1/2021","Morning","Port Jurong Island","TANKER","24"
"1/1/2021","Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Morning","Port Pasir Panjang","CARGO","27"
"1/1/2021","Morning","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Morning","Port Pasir Panjang","TANKER","10"
"1/1/2021","Morning","Port Tanjong Pagar","CARGO","0"
"1/1/2021","Morning","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Morning","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Morning","Port Tuas","CARGO","2"
"1/1/2021","Morning","Port Tuas","PASSENGER","0"
"1/1/2021","Morning","Port Tuas","TANKER","6"
"1/1/2021","Morning","Sea","CARGO","38"
"1/1/2021","Morning","Sea","PASSENGER","0"
"1/1/2021","Morning","Sea","TANKER","116"
"1/1/2021","Night","Land","CARGO","0"
"1/1/2021","Night","Land","PASSENGER","0"
"1/1/2021","Night","Land","TANKER","0"
"1/1/2021","Night","Port Brani","CARGO","0"
"1/1/2021","Night","Port Brani","PASSENGER","0"
"1/1/2021","Night","Port Brani","TANKER","0"
"1/1/2021","Night","Port Bukom","CARGO","1"
"1/1/2021","Night","Port Bukom","PASSENGER","0"
"1/1/2021","Night","Port Bukom","TANKER","2"
"1/1/2021","Night","Port Jurong Island","CARGO","6"
"1/1/2021","Night","Port Jurong Island","PASSENGER","0"
"1/1/2021","Night","Port Jurong Island","TANKER","25"
"1/1/2021","Night","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Night","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Night","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Night","Port Pasir Panjang","CARGO","22"
"1/1/2021","Night","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Night","Port Pasir Panjang","TANKER","5"
"1/1/2021","Night","Port Tanjong Pagar","CARGO","0"
"1/1/2021","Night","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Night","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Night","Port Tuas","CARGO","2"
"1/1/2021","Night","Port Tuas","PASSENGER","0"
"1/1/2021","Night","Port Tuas","TANKER","2"
"1/1/2021","Night","Sea","CARGO","45"
"1/1/2021","Night","Sea","PASSENGER","0"
"1/1/2021","Night","Sea","TANKER","120"
"1/12/2019","Afternoon","Land","CARGO","0"
"1/12/2019","Afternoon","Land","PASSENGER","0"
"1/12/2019","Afternoon","Land","TANKER","0"
"1/12/2019","Afternoon","Port Brani","CARGO","0"
"1/12/2019","Afternoon","Port Brani","PASSENGER","0"
"1/12/2019","Afternoon","Port Brani","TANKER","0"
"1/12/2019","Afternoon","Port Bukom","CARGO","0"
"1/12/2019","Afternoon","Port Bukom","PASSENGER","0"
"1/12/2019","Afternoon","Port Bukom","TANKER","10"
"1/12/2019","Afternoon","Port Jurong Island","CARGO","5"
"1/12/2019","Afternoon","Port Jurong Island","PASSENGER","0"
"1/12/2019","Afternoon","Port Jurong Island","TANKER","50"
"1/12/2019","Afternoon","Port Marina Bay Cruise Centre","CARGO","0"
"1/12/2019","Afternoon","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/12/2019","Afternoon","Port Marina Bay Cruise Centre","TANKER","0"
"1/12/2019","Afternoon","Port Pasir Panjang","CARGO","30"
"1/12/2019","Afternoon","Port Pasir Panjang","PASSENGER","0"
"1/12/2019","Afternoon","Port Pasir Panjang","TANKER","22"
"1/12/2019","Afternoon","Port Tanjong Pagar","CARGO","2"
"1/12/2019","Afternoon","Port Tanjong Pagar","PASSENGER","0"
"1/12/2019","Afternoon","Port Tanjong Pagar","TANKER","0"
"1/12/2019","Afternoon","Port Tuas","CARGO","4"
"1/12/2019","Afternoon","Port Tuas","PASSENGER","0"
"1/12/2019","Afternoon","Port Tuas","TANKER","4"
"1/12/2019","Afternoon","Sea","CARGO","47"
"1/12/2019","Afternoon","Sea","PASSENGER","1"
"1/12/2019","Afternoon","Sea","TANKER","173"
"1/12/2019","Early_Morning","Land","CARGO","0"
"1/12/2019","Early_Morning","Land","PASSENGER","0"
"1/12/2019","Early_Morning","Land","TANKER","0"
"1/12/2019","Early_Morning","Port Brani","CARGO","1"
"1/12/2019","Early_Morning","Port Brani","PASSENGER","0"
"1/12/2019","Early_Morning","Port Brani","TANKER","1"
"1/12/2019","Early_Morning","Port Bukom","CARGO","1"
"1/12/2019","Early_Morning","Port Bukom","PASSENGER","0"
"1/12/2019","Early_Morning","Port Bukom","TANKER","9"
"1/12/2019","Early_Morning","Port Jurong Island","CARGO","7"
"1/12/2019","Early_Morning","Port Jurong Island","PASSENGER","0"
"1/12/2019","Early_Morning","Port Jurong Island","TANKER","35"
"1/12/2019","Early_Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/12/2019","Early_Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/12/2019","Early_Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/12/2019","Early_Morning","Port Pasir Panjang","CARGO","21"
"1/12/2019","Early_Morning","Port Pasir Panjang","PASSENGER","0"
"1/12/2019","Early_Morning","Port Pasir Panjang","TANKER","12"
"1/12/2019","Early_Morning","Port Tanjong Pagar","CARGO","0"
"1/12/2019","Early_Morning","Port Tanjong Pagar","PASSENGER","0"
"1/12/2019","Early_Morning","Port Tanjong Pagar","TANKER","0"
"1/12/2019","Early_Morning","Port Tuas","CARGO","1"
"1/12/2019","Early_Morning","Port Tuas","PASSENGER","0"
"1/12/2019","Early_Morning","Port Tuas","TANKER","2"
"1/12/2019","Early_Morning","Sea","CARGO","33"
"1/12/2019","Early_Morning","Sea","PASSENGER","1"
"1/12/2019","Early_Morning","Sea","TANKER","119"
"1/12/2019","Evening","Land","CARGO","0"
"1/12/2019","Evening","Land","PASSENGER","0"
"1/12/2019","Evening","Land","TANKER","0"
"1/12/2019","Evening","Port Brani","CARGO","0"
"1/12/2019","Evening","Port Brani","PASSENGER","0"
"1/12/2019","Evening","Port Brani","TANKER","0"
"1/12/2019","Evening","Port Bukom","CARGO","1"
"1/12/2019","Evening","Port Bukom","PASSENGER","0"
"1/12/2019","Evening","Port Bukom","TANKER","6"
"1/12/2019","Evening","Port Jurong Island","CARGO","5"
"1/12/2019","Evening","Port Jurong Island","PASSENGER","0"
"1/12/2019","Evening","Port Jurong Island","TANKER","28"
"1/12/2019","Evening","Port Marina Bay Cruise Centre","CARGO","0"
"1/12/2019","Evening","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/12/2019","Evening","Port Marina Bay Cruise Centre","TANKER","0"
"1/12/2019","Evening","Port Pasir Panjang","CARGO","17"
"1/12/2019","Evening","Port Pasir Panjang","PASSENGER","0"
"1/12/2019","Evening","Port Pasir Panjang","TANKER","14"
"1/12/2019","Evening","Port Tanjong Pagar","CARGO","0"
"1/12/2019","Evening","Port Tanjong Pagar","PASSENGER","0"
"1/12/2019","Evening","Port Tanjong Pagar","TANKER","0"
"1/12/2019","Evening","Port Tuas","CARGO","0"
"1/12/2019","Evening","Port Tuas","PASSENGER","0"
"1/12/2019","Evening","Port Tuas","TANKER","1"
"1/12/2019","Evening","Sea","CARGO","34"
"1/12/2019","Evening","Sea","PASSENGER","0"
"1/12/2019","Evening","Sea","TANKER","111"
"1/12/2019","Late_Night","Land","CARGO","0"
"1/12/2019","Late_Night","Land","PASSENGER","0"
"1/12/2019","Late_Night","Land","TANKER","0"
"1/12/2019","Late_Night","Port Brani","CARGO","1"
"1/12/2019","Late_Night","Port Brani","PASSENGER","0"
"1/12/2019","Late_Night","Port Brani","TANKER","0"
"1/12/2019","Late_Night","Port Bukom","CARGO","1"
"1/12/2019","Late_Night","Port Bukom","PASSENGER","0"
"1/12/2019","Late_Night","Port Bukom","TANKER","12"
"1/12/2019","Late_Night","Port Jurong Island","CARGO","5"
"1/12/2019","Late_Night","Port Jurong Island","PASSENGER","0"
"1/12/2019","Late_Night","Port Jurong Island","TANKER","41"
"1/12/2019","Late_Night","Port Marina Bay Cruise Centre","CARGO","0"
"1/12/2019","Late_Night","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/12/2019","Late_Night","Port Marina Bay Cruise Centre","TANKER","0"
"1/12/2019","Late_Night","Port Pasir Panjang","CARGO","23"
"1/12/2019","Late_Night","Port Pasir Panjang","PASSENGER","0"
"1/12/2019","Late_Night","Port Pasir Panjang","TANKER","16"
"1/12/2019","Late_Night","Port Tanjong Pagar","CARGO","0"
"1/12/2019","Late_Night","Port Tanjong Pagar","PASSENGER","0"
"1/12/2019","Late_Night","Port Tanjong Pagar","TANKER","1"
"1/12/2019","Late_Night","Port Tuas","CARGO","3"
"1/12/2019","Late_Night","Port Tuas","PASSENGER","0"
"1/12/2019","Late_Night","Port Tuas","TANKER","4"
"1/12/2019","Late_Night","Sea","CARGO","39"
"1/12/2019","Late_Night","Sea","PASSENGER","1"
"1/12/2019","Late_Night","Sea","TANKER","163"
"1/12/2019","Morning","Land","CARGO","0"
"1/12/2019","Morning","Land","PASSENGER","0"
"1/12/2019","Morning","Land","TANKER","0"
"1/12/2019","Morning","Port Brani","CARGO","2"
"1/12/2019","Morning","Port Brani","PASSENGER","0"
"1/12/2019","Morning","Port Brani","TANKER","1"
"1/12/2019","Morning","Port Bukom","CARGO","0"
"1/12/2019","Morning","Port Bukom","PASSENGER","0"
"1/12/2019","Morning","Port Bukom","TANKER","7"
"1/12/2019","Morning","Port Jurong Island","CARGO","6"
"1/12/2019","Morning","Port Jurong Island","PASSENGER","0"
"1/12/2019","Morning","Port Jurong Island","TANKER","19"
"1/12/2019","Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/12/2019","Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/12/2019","Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/12/2019","Morning","Port Pasir Panjang","CARGO","21"
"1/12/2019","Morning","Port Pasir Panjang","PASSENGER","0"
"1/12/2019","Morning","Port Pasir Panjang","TANKER","7"
"1/12/2019","Morning","Port Tanjong Pagar","CARGO","1"
"1/12/2019","Morning","Port Tanjong Pagar","PASSENGER","0"
"1/12/2019","Morning","Port Tanjong Pagar","TANKER","0"
"1/12/2019","Morning","Port Tuas","CARGO","3"
"1/12/2019","Morning","Port Tuas","PASSENGER","0"
"1/12/2019","Morning","Port Tuas","TANKER","4"
"1/12/2019","Morning","Sea","CARGO","40"
"1/12/2019","Morning","Sea","PASSENGER","0"
"1/12/2019","Morning","Sea","TANKER","122"
"1/12/2019","Night","Land","CARGO","0"
"1/12/2019","Night","Land","PASSENGER","0"
