date_,geo_subcategory,shipcategory,avgspeed,sdspeed,minspeed,maxspeed
10/12/2020,Sea,CARGO,6.201641983,5.800685218,0,79.5
10/12/2020,Sea,TANKER,2.983648045,4.350333344,0,88
10/12/2020,Sea,PASSENGER,,,,
11/1/2020,Port Bukom,CARGO,8.386956522,2.904276525,0,13.6
11/1/2020,Port Bukom,TANKER,3.427530364,3.608561374,0,12.9
11/1/2020,Port Bukom,PASSENGER,,,,
11/1/2020,Port Tanjong Pagar,CARGO,1.062068966,1.56351568,0,4
11/1/2020,Port Tanjong Pagar,TANKER,1.84,2.528438253,0,4.9
11/1/2020,Port Tanjong Pagar,PASSENGER,,,,
11/1/2020,Port Jurong Island,CARGO,5.569964664,4.557862285,0,41
11/1/2020,Port Jurong Island,TANKER,1.92301576,3.203771101,0,77.7
11/1/2020,Port Jurong Island,PASSENGER,,,,
11/1/2020,Port Tuas,CARGO,0.385185185,1.590870544,0,10.1
11/1/2020,Port Tuas,TANKER,0.332275754,1.522395571,0,11.3
11/1/2020,Port Tuas,PASSENGER,,,,
11/1/2020,Port Marina Bay Cruise Centre,CARGO,0,,0,0
11/1/2020,Port Marina Bay Cruise Centre,TANKER,,,,
11/1/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
11/1/2020,Port Pasir Panjang,CARGO,0.984716157,2.242153384,0,100.8
11/1/2020,Port Pasir Panjang,TANKER,0.841372016,1.985656408,0,13.6
11/1/2020,Port Pasir Panjang,PASSENGER,,,,
11/1/2020,Port Brani,CARGO,0.575714286,1.223020224,0,5.7
11/1/2020,Port Brani,TANKER,1.1,1.479864859,0,3.6
11/1/2020,Port Brani,PASSENGER,,,,
11/1/2020,Sea,CARGO,8.04986095,5.217914126,0,79.3
11/1/2020,Sea,TANKER,3.162345739,4.388984251,0,100.8
11/1/2020,Sea,PASSENGER,2.528,4.720328665,0,16.1
11/1/2021,Port Bukom,CARGO,9.08,3.381933424,0,12.8
11/1/2021,Port Bukom,TANKER,2.226588235,2.948132425,0,10.8
11/1/2021,Port Bukom,PASSENGER,,,,
11/1/2021,Port Tanjong Pagar,CARGO,0.333333333,0.586383965,0,2.5
11/1/2021,Port Tanjong Pagar,TANKER,0.323529412,0.604699731,0,2.2
11/1/2021,Port Tanjong Pagar,PASSENGER,,,,
11/1/2021,Port Jurong Island,CARGO,6.038461538,4.12789598,0,14.6
11/1/2021,Port Jurong Island,TANKER,1.892773948,2.952471837,0,14.1
11/1/2021,Port Jurong Island,PASSENGER,,,,
11/1/2021,Port Tuas,CARGO,2.3,3.368657072,0,12.8
11/1/2021,Port Tuas,TANKER,1.594970414,3.05942211,0,11.1
11/1/2021,Port Tuas,PASSENGER,,,,
11/1/2021,Port Marina Bay Cruise Centre,CARGO,,,,
11/1/2021,Port Marina Bay Cruise Centre,TANKER,,,,
11/1/2021,Port Marina Bay Cruise Centre,PASSENGER,,,,
11/1/2021,Port Pasir Panjang,CARGO,0.872200937,1.729197941,0,12.7
11/1/2021,Port Pasir Panjang,TANKER,0.786434291,1.855746013,0,13.4
11/1/2021,Port Pasir Panjang,PASSENGER,,,,
11/1/2021,Port Brani,CARGO,0.75,1.5,0,3
11/1/2021,Port Brani,TANKER,,,,
11/1/2021,Port Brani,PASSENGER,,,,
11/1/2021,Sea,CARGO,7.107326733,5.180151204,0,23.5
11/1/2021,Sea,TANKER,3.46489625,4.412910013,0,89.7
11/1/2021,Sea,PASSENGER,,,,
11/12/2019,Port Bukom,CARGO,7.8,3.073937363,4,12.1
11/12/2019,Port Bukom,TANKER,1.95248227,2.982462587,0,10.6
11/12/2019,Port Bukom,PASSENGER,,,,
11/12/2019,Port Tanjong Pagar,CARGO,1.5,1.089342309,0,2.6
11/12/2019,Port Tanjong Pagar,TANKER,,,,
11/12/2019,Port Tanjong Pagar,PASSENGER,,,,
11/12/2019,Port Jurong Island,CARGO,6.655813953,3.223246615,1.4,14
11/12/2019,Port Jurong Island,TANKER,1.601483313,2.729086604,0,13
11/12/2019,Port Jurong Island,PASSENGER,,,,
11/12/2019,Port Tuas,CARGO,3.444444444,4.582060429,0,11.6
11/12/2019,Port Tuas,TANKER,1.537704918,2.657201782,0,10
11/12/2019,Port Tuas,PASSENGER,,,,
11/12/2019,Port Marina Bay Cruise Centre,CARGO,,,,
11/12/2019,Port Marina Bay Cruise Centre,TANKER,,,,
11/12/2019,Port Marina Bay Cruise Centre,PASSENGER,,,,
11/12/2019,Port Pasir Panjang,CARGO,0.903629032,1.901214531,0,12
11/12/2019,Port Pasir Panjang,TANKER,0.954380665,2.084980616,0,11.4
11/12/2019,Port Pasir Panjang,PASSENGER,,,,
11/12/2019,Port Brani,CARGO,0.283333333,0.598052395,0,1.5
11/12/2019,Port Brani,TANKER,,,,
11/12/2019,Port Brani,PASSENGER,,,,
11/12/2019,Sea,CARGO,6.054986431,5.995271768,0,20.8
11/12/2019,Sea,TANKER,3.658097864,4.323093999,0,18.3
11/12/2019,Sea,PASSENGER,,,,
11/12/2020,Port Bukom,CARGO,10.875,1.510794493,9,12.1
11/12/2020,Port Bukom,TANKER,1.121374046,2.316937721,0,8.3
11/12/2020,Port Bukom,PASSENGER,,,,
11/12/2020,Port Tanjong Pagar,CARGO,1.333333333,1.993656607,0,4.1
11/12/2020,Port Tanjong Pagar,TANKER,0.3,,0.3,0.3
11/12/2020,Port Tanjong Pagar,PASSENGER,,,,
11/12/2020,Port Jurong Island,CARGO,5.366956522,3.373288305,0,14.2
11/12/2020,Port Jurong Island,TANKER,2.28136646,3.370271078,0,52.8
11/12/2020,Port Jurong Island,PASSENGER,,,,
11/12/2020,Port Tuas,CARGO,2.228947368,3.718682409,0,10
11/12/2020,Port Tuas,TANKER,1.35106383,2.498547737,0,9.9
11/12/2020,Port Tuas,PASSENGER,,,,
11/12/2020,Port Marina Bay Cruise Centre,CARGO,,,,
11/12/2020,Port Marina Bay Cruise Centre,TANKER,,,,
11/12/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
11/12/2020,Port Pasir Panjang,CARGO,0.936615385,2.679278631,0,51.3
11/12/2020,Port Pasir Panjang,TANKER,1.193478261,2.31955176,0,9.6
11/12/2020,Port Pasir Panjang,PASSENGER,,,,
11/12/2020,Port Brani,CARGO,0.714285714,1.129053544,0,2.6
11/12/2020,Port Brani,TANKER,,,,
11/12/2020,Port Brani,PASSENGER,,,,
11/12/2020,Sea,CARGO,6.09973262,5.394248485,0,19.8
11/12/2020,Sea,TANKER,2.938428077,4.145854657,0,45.5
11/12/2020,Sea,PASSENGER,,,,
12/1/2020,Port Bukom,CARGO,9.239455782,2.902845978,0,18.3
12/1/2020,Port Bukom,TANKER,2.489658849,3.367996784,0,12.8
12/1/2020,Port Bukom,PASSENGER,,,,
12/1/2020,Port Tanjong Pagar,CARGO,1.264044944,1.336059946,0,6.3
12/1/2020,Port Tanjong Pagar,TANKER,0.8,0.765216019,0,2.2
12/1/2020,Port Tanjong Pagar,PASSENGER,,,,
12/1/2020,Port Jurong Island,CARGO,5.210387158,4.14651207,0,16.9
12/1/2020,Port Jurong Island,TANKER,1.829505589,3.106369202,0,96.6
12/1/2020,Port Jurong Island,PASSENGER,,,,
12/1/2020,Port Tuas,CARGO,1.270559846,3.95516321,0,73.3
12/1/2020,Port Tuas,TANKER,0.705778205,2.621685259,0,100.9
12/1/2020,Port Tuas,PASSENGER,,,,
12/1/2020,Port Marina Bay Cruise Centre,CARGO,,,,
12/1/2020,Port Marina Bay Cruise Centre,TANKER,,,,
12/1/2020,Port Marina Bay Cruise Centre,PASSENGER,1.95,1.909188309,0.6,3.3
12/1/2020,Port Pasir Panjang,CARGO,0.986720013,1.955496867,0,14.5
12/1/2020,Port Pasir Panjang,TANKER,1.242769935,2.164567071,0,11.9
12/1/2020,Port Pasir Panjang,PASSENGER,,,,
12/1/2020,Port Brani,CARGO,0.986470588,1.521364388,0,6.5
12/1/2020,Port Brani,TANKER,8.7,4.101219331,5.8,11.6
12/1/2020,Port Brani,PASSENGER,,,,
12/1/2020,Sea,CARGO,8.066646442,5.572578278,0,102.1
12/1/2020,Sea,TANKER,3.1942753,4.362680401,0,100.9
12/1/2020,Sea,PASSENGER,10.82525253,5.21109227,0,14.7
12/1/2021,Port Bukom,CARGO,8.345454545,3.175160629,0.1,12.8
12/1/2021,Port Bukom,TANKER,2.072967033,2.863832455,0,11.7
12/1/2021,Port Bukom,PASSENGER,,,,
12/1/2021,Port Tanjong Pagar,CARGO,0.877777778,1.188252685,0,3.5
12/1/2021,Port Tanjong Pagar,TANKER,0.05,0.070710678,0,0.1
12/1/2021,Port Tanjong Pagar,PASSENGER,,,,
12/1/2021,Port Jurong Island,CARGO,4.159813084,3.687865136,0,13.4
12/1/2021,Port Jurong Island,TANKER,1.501777108,2.605764551,0,19.2
12/1/2021,Port Jurong Island,PASSENGER,,,,
12/1/2021,Port Tuas,CARGO,1.788535032,2.849628139,0,12.7
12/1/2021,Port Tuas,TANKER,1.636164384,2.961020869,0,12.6
12/1/2021,Port Tuas,PASSENGER,,,,
12/1/2021,Port Marina Bay Cruise Centre,CARGO,,,,
12/1/2021,Port Marina Bay Cruise Centre,TANKER,,,,
12/1/2021,Port Marina Bay Cruise Centre,PASSENGER,,,,
12/1/2021,Port Pasir Panjang,CARGO,0.55304878,1.398180994,0,12.4
12/1/2021,Port Pasir Panjang,TANKER,0.866551724,1.940455771,0,15.1
12/1/2021,Port Pasir Panjang,PASSENGER,,,,
12/1/2021,Port Brani,CARGO,1.184615385,2.148971131,0,7.5
12/1/2021,Port Brani,TANKER,0.08,0.416955455,0,3.1
12/1/2021,Port Brani,PASSENGER,,,,
12/1/2021,Sea,CARGO,7.080799476,5.88802599,0,61
12/1/2021,Sea,TANKER,3.588099085,4.418879067,0,89.8
12/1/2021,Sea,PASSENGER,,,,
12/12/2019,Port Bukom,CARGO,8.625,2.574716813,6.8,12.4
12/12/2019,Port Bukom,TANKER,3.594029851,8.124202783,0,88.2
12/12/2019,Port Bukom,PASSENGER,,,,
12/12/2019,Port Tanjong Pagar,CARGO,0.32,0.438178046,0,0.8
12/12/2019,Port Tanjong Pagar,TANKER,0.1,0,0.1,0.1
12/12/2019,Port Tanjong Pagar,PASSENGER,,,,
12/12/2019,Port Jurong Island,CARGO,6.43908046,4.332928445,0.2,17.2
12/12/2019,Port Jurong Island,TANKER,1.896016598,2.924129322,0,12.8
12/12/2019,Port Jurong Island,PASSENGER,,,,
12/12/2019,Port Tuas,CARGO,2.9625,4.219999154,0,11
12/12/2019,Port Tuas,TANKER,5.0375,3.180348969,0,9.1
12/12/2019,Port Tuas,PASSENGER,,,,
12/12/2019,Port Marina Bay Cruise Centre,CARGO,,,,
12/12/2019,Port Marina Bay Cruise Centre,TANKER,,,,
12/12/2019,Port Marina Bay Cruise Centre,PASSENGER,,,,
12/12/2019,Port Pasir Panjang,CARGO,0.758472222,1.540139039,0,8.7
12/12/2019,Port Pasir Panjang,TANKER,1.024343675,1.87538302,0,9.6
12/12/2019,Port Pasir Panjang,PASSENGER,,,,
12/12/2019,Port Brani,CARGO,0.461538462,0.69466834,0,2.1
12/12/2019,Port Brani,TANKER,0.6,,0.6,0.6
12/12/2019,Port Brani,PASSENGER,,,,
12/12/2019,Sea,CARGO,6.888631909,5.828807779,0,60.9
12/12/2019,Sea,TANKER,3.603115919,4.310309495,0,90
12/12/2019,Sea,PASSENGER,,,,
12/12/2020,Port Bukom,CARGO,11.6,,11.6,11.6
12/12/2020,Port Bukom,TANKER,1.504255319,2.607177171,0,7.9
12/12/2020,Port Bukom,PASSENGER,,,,
12/12/2020,Port Tanjong Pagar,CARGO,1.7,2.404163056,0,3.4
12/12/2020,Port Tanjong Pagar,TANKER,,,,
12/12/2020,Port Tanjong Pagar,PASSENGER,,,,
12/12/2020,Port Jurong Island,CARGO,3.489655172,2.755947442,0,8.8
12/12/2020,Port Jurong Island,TANKER,1.48,2.624751601,0,11.8
12/12/2020,Port Jurong Island,PASSENGER,,,,
12/12/2020,Port Tuas,CARGO,1.114285714,2.390666375,0,9.1
12/12/2020,Port Tuas,TANKER,0.536486486,1.73864806,0,10.3
12/12/2020,Port Tuas,PASSENGER,,,,
12/12/2020,Port Marina Bay Cruise Centre,CARGO,,,,
12/12/2020,Port Marina Bay Cruise Centre,TANKER,,,,
12/12/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
12/12/2020,Port Pasir Panjang,CARGO,0.883684211,1.627539808,0,9.1
12/12/2020,Port Pasir Panjang,TANKER,0.848120301,1.821321594,0,9
12/12/2020,Port Pasir Panjang,PASSENGER,,,,
12/12/2020,Port Brani,CARGO,0.02,0.04472136,0,0.1
12/12/2020,Port Brani,TANKER,,,,
12/12/2020,Port Brani,PASSENGER,,,,
12/12/2020,Sea,CARGO,6.141775148,5.655142287,0,19.7
12/12/2020,Sea,TANKER,3.208773991,4.372984689,0,52.9
12/12/2020,Sea,PASSENGER,,,,
13/1/2020,Port Bukom,CARGO,9.789215686,3.601207357,0,15.2
13/1/2020,Port Bukom,TANKER,2.312310287,2.994486748,0,11.3
13/1/2020,Port Bukom,PASSENGER,,,,
13/1/2020,Port Tanjong Pagar,CARGO,0.541891892,1.384118547,0,6.3
13/1/2020,Port Tanjong Pagar,TANKER,0.276510067,2.026293023,0,24.1
13/1/2020,Port Tanjong Pagar,PASSENGER,,,,
13/1/2020,Port Jurong Island,CARGO,4.253556127,3.899608468,0,13.7
13/1/2020,Port Jurong Island,TANKER,1.351041786,2.707503714,0,100.8
13/1/2020,Port Jurong Island,PASSENGER,,,,
13/1/2020,Port Tuas,CARGO,1.165566836,2.881011525,0,24.3
13/1/2020,Port Tuas,TANKER,0.806062407,2.802970881,0,76.8
13/1/2020,Port Tuas,PASSENGER,,,,
13/1/2020,Port Marina Bay Cruise Centre,CARGO,6,,6,6
13/1/2020,Port Marina Bay Cruise Centre,TANKER,,,,
13/1/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
13/1/2020,Port Pasir Panjang,CARGO,0.507212303,1.530835125,0,100.9
13/1/2020,Port Pasir Panjang,TANKER,0.814841328,2.05726752,0,85.4
13/1/2020,Port Pasir Panjang,PASSENGER,,,,
13/1/2020,Port Brani,CARGO,0.948034934,1.536559748,0,6.9
13/1/2020,Port Brani,TANKER,0.65,0.636396103,0.2,1.1
13/1/2020,Port Brani,PASSENGER,,,,
13/1/2020,Sea,CARGO,6.831477785,5.582517449,0,100.8
13/1/2020,Sea,TANKER,3.296451691,4.575558309,0,102
13/1/2020,Sea,PASSENGER,10.9224,7.567820925,0,66.8
13/1/2021,Port Bukom,CARGO,8.5125,4.037834462,1.2,14
13/1/2021,Port Bukom,TANKER,2.429213483,2.987609147,0,12.6
13/1/2021,Port Bukom,PASSENGER,,,,
13/1/2021,Port Tanjong Pagar,CARGO,,,,
13/1/2021,Port Tanjong Pagar,TANKER,0,,0,0
13/1/2021,Port Tanjong Pagar,PASSENGER,,,,
13/1/2021,Port Jurong Island,CARGO,6.784466019,4.475636821,0,14.7
13/1/2021,Port Jurong Island,TANKER,1.849685973,2.745583345,0,12.5
13/1/2021,Port Jurong Island,PASSENGER,,,,
13/1/2021,Port Tuas,CARGO,1.675,3.581383022,0,12.5
